_	PRON VERB DET ADJ NOUN PART ADV SCONJ PUNCT ADP CCONJ AUX NUM PROPN SYM INTJ _
from	ADP SCONJ
the	DET PRON ADV ADP PART PROPN
ap	PROPN NOUN
comes	VERB
come	VERB ADJ
this	DET PRON ADV NOUN ADJ
story	NOUN PROPN
:	PUNCT SYM
president	PROPN NOUN
bush	PROPN NOUN
on	ADP ADV SCONJ NOUN ADJ X NUM PROPN
tuesday	PROPN NOUN
nominated	VERB
nominate	VERB
two	NUM PROPN NOUN
individuals	NOUN
individual	NOUN ADJ PROPN
to	PART ADP SCONJ ADV NOUN VERB X PROPN DET
replace	VERB
retiring	VERB
retire	VERB
jurists	NOUN
jurist	NOUN
federal	ADJ PROPN
courts	NOUN
court	NOUN PROPN VERB
in	ADP ADV X NOUN SCONJ PROPN ADJ VERB PART
washington	PROPN
area	NOUN PROPN
.	PUNCT
jennifer	PROPN
m.	PROPN VERB
anderson	PROPN
for	ADP SCONJ ADV CCONJ X
a	DET X NOUN SYM ADV PROPN ADP CCONJ PART AUX PRON
15	NUM
-	PUNCT SYM X ADP CCONJ NUM
year	NOUN PROPN
term	NOUN VERB
as	ADP ADV SCONJ AUX PROPN CCONJ
associate	ADJ NOUN VERB PROPN
judge	NOUN VERB PROPN
of	ADP ADV SCONJ CCONJ AUX NOUN
superior	PROPN ADJ NOUN
district	PROPN NOUN
columbia	PROPN
,	PUNCT
replacing	VERB
steffen	PROPN
w.	PROPN
graae	PROPN
***	PUNCT
also	ADV
a.	PROPN
noel	PROPN
anketell	PROPN
kramer	PROPN
appeals	PROPN NOUN
john	PROPN X
montague	PROPN
steadman	PROPN
sheikh	NOUN PROPN
wheel	NOUN PROPN VERB
chair	NOUN VERB
has	AUX VERB
have	AUX VERB
been	AUX VERB
be	AUX VERB NOUN PRON PART
attacked	VERB
attack	VERB NOUN
with	ADP SCONJ AUX ADV
f	NOUN ADP PROPN
16	NUM NOUN
launched	VERB ADJ
launch	VERB NOUN PROPN ADJ
bomb	NOUN VERB
he	PRON INTJ DET PROPN
could	AUX
killed	VERB
kill	VERB NOUN
years	NOUN PROPN
ago	ADV ADP
and	CCONJ DET X ADP ADV
israelians	PROPN
all	DET ADV NOUN PROPN PUNCT X PRON ADP
reasons	NOUN
reason	NOUN VERB
since	SCONJ ADP ADV
founded	VERB
found	VERB NOUN
is	AUX VERB PROPN PRON ADV ADP
spiritual	ADJ
leader	NOUN
hamas	PROPN
but	CCONJ ADP ADV NOUN SCONJ
they	PRON ADJ
did	VERB AUX
do	VERB AUX ADV ADP PROPN NOUN
n't	PART ADV
not	PART ADV CCONJ
today	NOUN ADV PROPN
's	PART AUX VERB PRON
incident	NOUN
proves	VERB
prove	VERB
that	SCONJ PRON DET ADV ADP ADJ
sharon	PROPN
lost	VERB ADJ NOUN
lose	VERB
his	PRON DET
patience	NOUN
hope	NOUN VERB PROPN
peace	NOUN PROPN
nervous	ADJ ADV
people	NOUN PROPN VERB
make	VERB ADJ NOUN
